Date,Open,High,Low,Close,Volume,Symbol
2025-07-29,2529.0,2557.39990234375,2507.5,2547.89990234375,424781,ADANIENT.NS
2025-07-30,2547.89990234375,2552.60009765625,2525.0,2532.89990234375,262063,ADANIENT.NS
2025-07-31,2509.89990234375,2520.0,2422.60009765625,2430.699951171875,1457616,ADANIENT.NS
2025-08-01,2425.0,2444.89990234375,2333.0,2350.89990234375,976341,ADANIENT.NS
2025-08-04,2360.0,2374.699951171875,2338.199951171875,2363.60009765625,576426,ADANIENT.NS
2025-08-05,2370.0,2370.0,2316.0,2328.199951171875,576742,ADANIENT.NS
2025-08-06,2333.89990234375,2347.89990234375,2296.0,2300.300048828125,631582,ADANIENT.NS
2025-08-07,2290.0,2295.0,2202.800048828125,2249.800048828125,1529410,ADANIENT.NS
2025-08-08,2247.0,2260.89990234375,2164.800048828125,2178.10009765625,2552736,ADANIENT.NS
2025-08-11,2196.0,2302.0,2183.0,2283.39990234375,2376286,ADANIENT.NS
2025-08-12,2280.10009765625,2314.699951171875,2267.0,2288.199951171875,1075526,ADANIENT.NS
2025-08-13,2299.0,2314.89990234375,2245.39990234375,2280.10009765625,833679,ADANIENT.NS
2025-08-14,2288.0,2304.0,2267.699951171875,2281.60009765625,998109,ADANIENT.NS
2025-08-18,2309.60009765625,2360.0,2300.0,2333.60009765625,988629,ADANIENT.NS
2025-08-19,2339.89990234375,2395.60009765625,2314.10009765625,2388.39990234375,1069432,ADANIENT.NS
2025-08-20,2380.0,2406.0,2372.10009765625,2387.10009765625,780025,ADANIENT.NS
2025-08-21,2387.10009765625,2397.0,2371.39990234375,2377.199951171875,441867,ADANIENT.NS
2025-08-22,2369.89990234375,2376.300048828125,2321.0,2324.89990234375,584211,ADANIENT.NS
2025-08-25,2335.699951171875,2348.39990234375,2300.0,2302.89990234375,542455,ADANIENT.NS
2025-08-26,2304.0,2309.300048828125,2249.39990234375,2272.0,1071550,ADANIENT.NS
2025-08-28,2271.89990234375,2327.89990234375,2255.0,2275.199951171875,907868,ADANIENT.NS
2025-08-29,2283.0,2289.699951171875,2240.0,2244.699951171875,795699,ADANIENT.NS
2025-09-01,2259.0,2288.0,2252.10009765625,2284.199951171875,425639,ADANIENT.NS
2025-09-02,2291.0,2302.0,2264.0,2274.199951171875,481894,ADANIENT.NS
2025-09-03,2285.0,2293.0,2263.10009765625,2288.699951171875,443629,ADANIENT.NS
2025-09-04,2309.89990234375,2317.300048828125,2275.0,2278.800048828125,392697,ADANIENT.NS
2025-09-05,2275.0,2293.5,2248.0,2281.39990234375,443010,ADANIENT.NS
2025-09-08,2290.0,2333.89990234375,2286.0,2310.89990234375,542811,ADANIENT.NS
2025-09-09,2320.0,2325.0,2297.0,2311.60009765625,369431,ADANIENT.NS
2025-09-10,2330.0,2345.89990234375,2325.10009765625,2340.199951171875,390490,ADANIENT.NS
2025-09-11,2348.0,2418.699951171875,2340.199951171875,2398.800048828125,2111888,ADANIENT.NS
2025-09-12,2416.89990234375,2421.60009765625,2387.10009765625,2392.0,533971,ADANIENT.NS
2025-09-15,2392.0,2402.800048828125,2378.10009765625,2383.39990234375,298129,ADANIENT.NS
2025-09-16,2410.0,2415.800048828125,2388.0,2399.39990234375,752979,ADANIENT.NS
2025-09-17,2417.0,2417.0,2391.0,2402.0,514354,ADANIENT.NS
2025-09-18,2414.5,2438.0,2388.39990234375,2402.0,703730,ADANIENT.NS
2025-09-19,2495.0,2579.0,2466.10009765625,2524.0,7965135,ADANIENT.NS
2025-09-22,2535.0,2659.0,2522.10009765625,2629.5,7022985,ADANIENT.NS
2025-09-23,2642.60009765625,2695.0,2593.0,2676.39990234375,5610022,ADANIENT.NS
2025-09-24,2655.0,2676.0,2614.39990234375,2619.800048828125,1720785,ADANIENT.NS
2025-09-25,2625.0,2647.89990234375,2567.0,2576.39990234375,1489682,ADANIENT.NS
2025-09-26,2572.800048828125,2605.0,2535.0,2543.699951171875,1037808,ADANIENT.NS
2025-09-29,2543.699951171875,2555.0,2505.0,2509.5,1012402,ADANIENT.NS
2025-09-30,2522.0,2535.0,2490.60009765625,2505.89990234375,712592,ADANIENT.NS
2025-10-01,2518.39990234375,2603.39990234375,2472.10009765625,2592.699951171875,1573485,ADANIENT.NS
2025-10-03,2595.0,2612.89990234375,2564.39990234375,2589.89990234375,917651,ADANIENT.NS
2025-10-06,2589.10009765625,2599.800048828125,2562.60009765625,2573.5,654955,ADANIENT.NS
2025-10-07,2580.699951171875,2617.300048828125,2533.10009765625,2542.199951171875,1120230,ADANIENT.NS
2025-10-08,2562.0,2565.0,2500.0,2524.10009765625,1063357,ADANIENT.NS
2025-10-09,2535.0,2559.0,2522.199951171875,2542.39990234375,651703,ADANIENT.NS
2025-10-10,2552.0,2565.0,2538.800048828125,2550.89990234375,690142,ADANIENT.NS
2025-10-13,2529.10009765625,2542.10009765625,2504.0,2527.39990234375,645483,ADANIENT.NS
2025-10-14,2538.89990234375,2538.89990234375,2485.199951171875,2517.0,673048,ADANIENT.NS
2025-10-15,2535.0,2561.39990234375,2527.300048828125,2532.800048828125,759772,ADANIENT.NS
2025-10-16,2544.800048828125,2579.699951171875,2540.89990234375,2557.60009765625,1020102,ADANIENT.NS
2025-10-17,2560.0,2577.199951171875,2543.10009765625,2549.39990234375,682968,ADANIENT.NS
2025-10-20,2561.300048828125,2579.0,2537.10009765625,2548.10009765625,747349,ADANIENT.NS
2025-10-21,2554.89990234375,2562.0,2542.300048828125,2549.89990234375,101019,ADANIENT.NS
2025-10-23,2559.89990234375,2577.800048828125,2540.89990234375,2545.800048828125,852445,ADANIENT.NS
2025-10-24,2554.800048828125,2554.800048828125,2497.699951171875,2504.199951171875,473765,ADANIENT.NS
2025-10-27,2504.199951171875,2514.60009765625,2487.10009765625,2492.800048828125,478055,ADANIENT.NS
2025-10-28,2495.0,2516.0,2479.10009765625,2494.39990234375,626988,ADANIENT.NS
2025-10-29,2500.0,2600.0,2495.5,2537.39990234375,1526734,ADANIENT.NS
2025-10-30,2550.0,2559.39990234375,2511.800048828125,2526.89990234375,783328,ADANIENT.NS
2025-10-31,2535.0,2543.5,2464.89990234375,2481.0,848642,ADANIENT.NS
2025-11-03,2484.0,2501.89990234375,2457.5,2467.0,731108,ADANIENT.NS
2025-11-04,2479.800048828125,2488.89990234375,2390.60009765625,2419.800048828125,2072668,ADANIENT.NS
2025-11-06,2425.10009765625,2427.10009765625,2307.60009765625,2314.300048828125,1978147,ADANIENT.NS
2025-11-07,2315.0,2402.5,2291.39990234375,2369.39990234375,2232889,ADANIENT.NS
2025-11-10,2308.2470703125,2315.13037109375,2291.86279296875,2298.358154296875,577428,ADANIENT.NS
2025-11-11,2295.74072265625,2306.30810546875,2267.140869140625,2294.5771484375,654132,ADANIENT.NS
2025-11-12,2311.25244140625,2440.6787109375,2288.954345703125,2408.685546875,6895852,ADANIENT.NS
2025-11-13,2425.651611328125,2447.94970703125,2392.7861328125,2412.272705078125,2791508,ADANIENT.NS
2025-11-14,2423.712646484375,2475.77392578125,2405.29248046875,2440.0,4637753,ADANIENT.NS
2025-11-17,2460.0,2474.89990234375,2421.0,2462.0,2672697,ADANIENT.NS
2025-11-18,2462.0,2478.60009765625,2434.300048828125,2436.800048828125,1245215,ADANIENT.NS
2025-11-19,2446.5,2449.89990234375,2413.89990234375,2433.10009765625,774785,ADANIENT.NS
2025-11-20,2450.10009765625,2478.89990234375,2440.39990234375,2446.10009765625,1526556,ADANIENT.NS
2025-11-21,2450.0,2456.199951171875,2418.0,2422.300048828125,547541,ADANIENT.NS
2025-11-24,2426.199951171875,2432.300048828125,2393.10009765625,2399.199951171875,691419,ADANIENT.NS
2025-11-25,2400.89990234375,2407.699951171875,2325.300048828125,2332.89990234375,2223715,ADANIENT.NS
2025-11-26,2321.199951171875,2357.0,2310.0,2315.0,1026965,ADANIENT.NS
2025-11-27,2310.0,2320.5,2243.0,2255.0,1474038,ADANIENT.NS
2025-11-28,2267.10009765625,2331.0,2247.800048828125,2280.199951171875,3037620,ADANIENT.NS
2025-12-01,2300.0,2304.0,2257.0,2262.0,1313265,ADANIENT.NS
2025-12-02,2255.0,2267.199951171875,2232.199951171875,2239.60009765625,1035354,ADANIENT.NS
2025-12-03,2240.0,2245.0,2172.199951171875,2189.800048828125,1643852,ADANIENT.NS
2025-12-04,2188.0,2231.699951171875,2183.39990234375,2217.89990234375,2522821,ADANIENT.NS
2025-12-05,2217.89990234375,2268.60009765625,2202.89990234375,2265.39990234375,2400781,ADANIENT.NS
2025-12-08,2265.39990234375,2270.39990234375,2205.0,2216.199951171875,939764,ADANIENT.NS
2025-12-09,2216.199951171875,2257.0,2178.39990234375,2245.199951171875,1227728,ADANIENT.NS
2025-12-10,2255.800048828125,2267.5,2204.10009765625,2211.60009765625,935149,ADANIENT.NS
2025-12-11,2225.0,2293.89990234375,2192.39990234375,2277.699951171875,1519832,ADANIENT.NS
2025-12-12,2277.699951171875,2296.800048828125,2270.199951171875,2282.39990234375,929199,ADANIENT.NS
2025-12-15,2282.39990234375,2300.0,2273.0,2278.89990234375,573027,ADANIENT.NS
2025-12-16,2270.0,2276.800048828125,2232.10009765625,2247.89990234375,654714,ADANIENT.NS
2025-12-17,2247.60009765625,2255.0,2221.0,2232.5,651509,ADANIENT.NS
2025-12-18,2236.39990234375,2245.0,2211.10009765625,2229.300048828125,508238,ADANIENT.NS
2025-12-19,2249.0,2250.0,2210.0,2239.0,880005,ADANIENT.NS
2025-12-22,2260.0,2274.0,2245.89990234375,2263.5,599195,ADANIENT.NS
2025-12-23,2272.5,2273.60009765625,2245.0,2248.800048828125,450112,ADANIENT.NS
2025-12-24,2250.0,2258.800048828125,2217.39990234375,2222.699951171875,825693,ADANIENT.NS
2025-12-26,2229.300048828125,2250.89990234375,2218.0,2229.89990234375,566237,ADANIENT.NS
